trade_date,index_code,index_name_cn,open,high,low,close,change,change_pct,trading_volume,trading_value
20060814,930955,红利低波100,1407.5,1410.16,1372.29,1375.27,,-2.29,443.91,21.21
20060815,930955,红利低波100,1374.52,1397.1,1372.19,1397.1,,1.59,356.16,16.58
20060816,930955,红利低波100,1397.48,1414.49,1393.74,1414.49,,1.25,532.54,25.43
20060817,930955,红利低波100,1413.33,1413.33,1391.92,1400.45,,-0.99,397.4,18.4
20060818,930955,红利低波100,1398.54,1404.11,1393.14,1393.89,,-0.47,412.25,16.99
20060821,930955,红利低波100,1358.95,1391.26,1358.95,1391.26,,-0.19,337.56,15.75
20060822,930955,红利低波100,1391.29,1407.06,1391.06,1406.01,,1.06,393.61,19.52
20060823,930955,红利低波100,1409.76,1412.52,1401.49,1404.93,,-0.08,470.01,23.54
20060824,930955,红利低波100,1404.38,1408.15,1393.05,1408.15,,0.23,352.67,17.23
20060825,930955,红利低波100,1409.0,1414.5,1407.02,1412.57,,0.31,441.65,21.74
20060828,930955,红利低波100,1415.8,1439.48,1414.11,1439.48,,1.91,627.78,31.97
20060829,930955,红利低波100,1443.89,1456.98,1437.68,1438.17,,-0.09,812.6,38.75
20060830,930955,红利低波100,1437.0,1445.02,1430.9,1443.74,,0.39,526.34,24.33
20060831,930955,红利低波100,1444.65,1453.77,1441.51,1453.77,,0.7,610.76,28.89
20060901,930955,红利低波100,1450.43,1454.21,1428.9,1434.97,,-1.29,726.98,30.76
20060904,930955,红利低波100,1436.66,1457.28,1436.66,1457.28,,1.55,586.71,27.71
20060905,930955,红利低波100,1458.51,1465.82,1454.22,1458.33,,0.07,661.74,33.55
20060906,930955,红利低波100,1459.01,1464.23,1447.95,1464.23,,0.4,610.96,27.0
20060907,930955,红利低波100,1459.71,1459.71,1440.43,1443.19,,-1.44,751.34,38.25
20060908,930955,红利低波100,1442.39,1447.89,1439.08,1442.23,,-0.07,433.48,22.7
20060911,930955,红利低波100,1445.06,1447.42,1429.01,1447.42,,0.36,501.73,26.45
20060912,930955,红利低波100,1447.97,1457.5,1445.01,1455.43,,0.55,807.03,38.87
20060913,930955,红利低波100,1457.0,1463.46,1448.24,1449.7,,-0.39,1196.29,53.58
20060914,930955,红利低波100,1446.85,1451.22,1434.18,1445.2,,-0.31,680.7,33.53
20060915,930955,红利低波100,1445.76,1469.02,1445.34,1468.61,,1.62,1296.27,53.62
20060918,930955,红利低波100,1474.22,1487.52,1474.22,1487.52,,1.29,1044.71,47.22
20060919,930955,红利低波100,1489.73,1489.86,1478.9,1482.87,,-0.31,745.96,34.95
20060920,930955,红利低波100,1480.5,1486.31,1472.14,1483.47,,0.04,670.02,31.58
20060921,930955,红利低波100,1484.78,1492.06,1482.39,1488.41,,0.33,784.28,37.82
20060922,930955,红利低波100,1489.16,1489.16,1466.62,1466.79,,-1.45,742.3,37.21
20060925,930955,红利低波100,1465.62,1468.62,1452.07,1457.28,,-0.65,595.67,30.69
20060926,930955,红利低波100,1456.05,1457.22,1445.02,1451.28,,-0.41,481.15,21.93
20060927,930955,红利低波100,1451.64,1465.09,1451.64,1465.09,,0.95,422.61,18.96
20060928,930955,红利低波100,1466.09,1477.65,1463.26,1475.61,,0.72,576.96,27.3
20060929,930955,红利低波100,1476.49,1489.82,1476.49,1488.79,,0.89,697.27,32.06
20061009,930955,红利低波100,1499.9,1515.37,1499.9,1515.37,,1.79,1238.82,52.37
20061010,930955,红利低波100,1518.05,1521.29,1508.53,1516.73,,0.09,1262.03,56.22
20061011,930955,红利低波100,1515.85,1519.26,1506.3,1518.59,,0.12,1133.04,47.89
20061012,930955,红利低波100,1520.12,1531.43,1513.49,1522.64,,0.27,1458.99,58.61
20061013,930955,红利低波100,1521.11,1530.62,1520.16,1525.12,,0.16,1007.56,45.24
20061016,930955,红利低波100,1530.93,1534.42,1518.65,1522.03,,-0.2,1098.32,48.8
20061017,930955,红利低波100,1519.8,1524.95,1511.74,1514.46,,-0.5,726.46,33.34
20061018,930955,红利低波100,1514.68,1531.28,1514.68,1531.28,,1.11,782.82,36.01
20061019,930955,红利低波100,1533.0,1536.91,1525.51,1531.58,,0.02,815.47,36.73
20061020,930955,红利低波100,1532.04,1532.04,1519.23,1519.23,,-0.81,789.37,37.38
20061023,930955,红利低波100,1518.7,1524.98,1484.01,1488.16,,-2.05,1033.97,47.31
20061024,930955,红利低波100,1487.73,1521.24,1487.73,1521.24,,2.22,936.91,44.66
20061025,930955,红利低波100,1523.61,1530.13,1505.91,1519.1,,-0.14,1078.0,52.34
20061026,930955,红利低波100,1519.1,1523.84,1511.76,1521.45,,0.16,1786.34,71.79
20061027,930955,红利低波100,1522.17,1525.71,1504.38,1513.49,,-0.52,1632.93,71.62
